,,,,Exemption 3 Statutes,,,Dates (mm/dd/yy),,,,,Disposition,,,Appeal,,,Reason for Denial on Appeal - Reason(s) ,,,Request for Expedited Processing,,,,Request for Fee Waiver,,,,
Region 5,EPA-R5-2017-003074,N,20,,,,23-Jan-17,24-Jan-17,23-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003080,N,20,,,,24-Jan-17,,30-Jan-17,,Simple,Improper FOIA request for other reason, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003086,N,30,,,,24-Jan-17,26-Jan-17,7-Mar-17,13,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003090,N,20,,,,24-Jan-17,24-Jan-17,23-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003099,N,20,,,,24-Jan-17,24-Jan-17,22-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003121,N,20,,,,24-Jan-17,26-Jan-17,21-Feb-17,,Simple,No records, ,,,,,,,,,,, ,24-Jan-17,2-Feb-17,8,Deny,
Region 5,EPA-R5-2017-003128,N,20,,,,24-Jan-17,26-Jan-17,23-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003131,N,20,,,,24-Jan-17,26-Jan-17,21-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003135,N,20,,,,24-Jan-17,26-Jan-17,21-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003136,N,30,,,,24-Jan-17,26-Jan-17,31-Mar-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003139,N,30,,,,24-Jan-17,26-Jan-17,7-Mar-17,8,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003141,N,20,,,,24-Jan-17,26-Jan-17,15-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003152,N,20,,,,25-Jan-17,27-Jan-17,6-Mar-17,6,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003192,N,20,,,,25-Jan-17,26-Jan-17,14-Feb-17,2,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003200,N,20,,,,25-Jan-17,26-Jan-17,13-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003202,N,20,,,,25-Jan-17,26-Jan-17,21-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003229,N,20,,,,25-Jan-17,26-Jan-17,2-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003273,N,20,,,,26-Jan-17,26-Jan-17,21-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003285,N,20,,,,26-Jan-17,26-Jan-17,30-Jan-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003288,N,30,,,,26-Jan-17,26-Jan-17,6-Jun-17,60,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003289,N,20,,,,26-Jan-17,26-Jan-17,9-Mar-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,26-Jan-17,2-Feb-17,6,Deny,
Region 5,EPA-R5-2017-003310,N,20,,,,26-Jan-17,30-Jan-17,15-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003312,N,20,,,,26-Jan-17,30-Jan-17,11-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003317,N,20,,,,26-Jan-17,30-Jan-17,1-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003324,N,30,,,,27-Jan-17,30-Jan-17,15-Mar-17,13,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003326,N,20,,,,27-Jan-17,30-Jan-17,11-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003332,N,20,,,,27-Jan-17,1-Feb-17,23-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003337,N,20,,,,27-Jan-17,1-Feb-17,15-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003338,N,20,,,,27-Jan-17,1-Feb-17,21-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003339,N,30,,,,27-Jan-17,1-Feb-17,10-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003343,N,20,,,,27-Jan-17,1-Feb-17,21-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003345,N,20,,,,27-Jan-17,30-Jan-17,11-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003361,N,20,,,,28-Jan-17,30-Jan-17,16-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003363,N,20,,,,30-Jan-17,31-Jan-17,16-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003374,N,20,,,,30-Jan-17,31-Jan-17,28-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003375,N,20,,,,30-Jan-17,,17-Apr-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003390,N,20,,,,30-Jan-17,31-Jan-17,16-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003391,N,20,,,,30-Jan-17,31-Jan-17,15-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003393,N,20,,,,30-Jan-17,30-Jan-17,13-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003395,N,20,,,,30-Jan-17,30-Jan-17,11-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003396,N,20,,,,30-Jan-17,30-Jan-17,11-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003397,N,30,,,,30-Jan-17,30-Jan-17,15-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003398,N,20,,,,30-Jan-17,30-Jan-17,11-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003403,N,20,,,,30-Jan-17,30-Jan-17,8-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003417,N,20,,,,30-Jan-17,31-Jan-17,23-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003429,N,20,,,,31-Jan-17,31-Jan-17,6-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003432,N,20,,,,31-Jan-17,31-Jan-17,21-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003436,N,20,,,,31-Jan-17,6-Feb-17,22-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003437,N,20,,,,31-Jan-17,1-Feb-17,21-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003439,N,20,,,,31-Jan-17,1-Feb-17,21-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003445,N,20,,,,31-Jan-17,2-Feb-17,21-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003446,N,20,,,,31-Jan-17,1-Feb-17,21-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003452,N,20,,,,31-Jan-17,,1-Feb-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003467,N,20,,,,1-Feb-17,2-Feb-17,21-Feb-17,3,Simple,No records, ,,,,,,,,,,, ,1-Feb-17,7-Feb-17,6,Full Grant,
Region 5,EPA-R5-2017-003469,N,20,,,,1-Feb-17,1-Feb-17,9-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003473,N,20,,,,1-Feb-17,1-Feb-17,27-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003477,N,20,,,,1-Feb-17,2-Feb-17,21-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003484,N,30,,,,1-Feb-17,2-Feb-17,8-Jun-17,,Complex,Partial grant/partial denial, ,Ex. 6,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003495,N,20,,,,1-Feb-17,2-Feb-17,29-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003496,N,30,,,,1-Feb-17,2-Feb-17,8-Jun-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003507,N,20,,,,2-Feb-17,2-Feb-17,28-Feb-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003512,N,20,,,,2-Feb-17,2-Feb-17,10-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003513,N,20,,,,2-Feb-17,2-Feb-17,2-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003514,N,20,,,,2-Feb-17,2-Feb-17,27-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003515,N,20,,,,2-Feb-17,2-Feb-17,31-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003523,N,20,,,,2-Feb-17,2-Feb-17,23-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003528,N,20,,,,2-Feb-17,3-Feb-17,27-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003529,N,20,,,,2-Feb-17,,6-Feb-17,,Simple,Duplicate request, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003530,N,30,,,,2-Feb-17,3-Feb-17,15-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003531,N,30,,,,2-Feb-17,3-Feb-17,29-Mar-17,1,Simple,Full grant, ,,,,,,,,,,, ,2-Feb-17,9-Feb-17,6,Deny,
Region 5,EPA-R5-2017-003547,N,20,,,,3-Feb-17,3-Feb-17,23-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003555,N,20,,,,3-Feb-17,3-Feb-17,4-Mar-17,1,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003556,N,20,,,,3-Feb-17,3-Feb-17,27-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003557,N,20,,,,3-Feb-17,15-Feb-17,7-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003576,N,20,,,,3-Feb-17,6-Feb-17,23-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003584,N,20,,,,3-Feb-17,6-Feb-17,2-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003599,N,20,,,,4-Feb-17,7-Feb-17,14-Feb-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003611,N,20,,,,6-Feb-17,6-Feb-17,4-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003617,N,20,,,,6-Feb-17,6-Feb-17,23-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003620,N,20,,,,6-Feb-17,7-Feb-17,2-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003652,N,20,,,,7-Feb-17,7-Feb-17,4-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003656,N,20,,,,7-Feb-17,7-Feb-17,21-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003662,N,20,,,,7-Feb-17,7-Feb-17,23-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003666,N,30,,,,7-Feb-17,8-Feb-17,28-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003674,N,20,,,,7-Feb-17,10-Feb-17,27-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003681,N,20,,,,7-Feb-17,8-Feb-17,10-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003684,N,20,,,,7-Feb-17,8-Feb-17,27-Feb-17,8,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003685,N,20,,,,7-Feb-17,8-Feb-17,23-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003687,N,20,,,,7-Feb-17,9-Feb-17,1-Mar-17,,Simple,No records, ,,,,,,,,,,, ,7-Feb-17,14-Feb-17,6,Deny,
Region 5,EPA-R5-2017-003688,N,20,,,,7-Feb-17,8-Feb-17,23-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003689,N,20,,,,7-Feb-17,8-Feb-17,7-Mar-17,4,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003696,N,20,,,,8-Feb-17,,21-Feb-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003698,N,30,,,,8-Feb-17,8-Feb-17,27-Mar-17,4,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003701,N,30,,,,8-Feb-17,8-Feb-17,22-Jun-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003702,N,30,,,,8-Feb-17,8-Feb-17,16-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003703,N,20,,,,8-Feb-17,8-Feb-17,3-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003704,N,30,,,,8-Feb-17,8-Feb-17,21-Mar-17,,Simple,Partial grant/partial denial, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003711,N,20,,,,8-Feb-17,8-Feb-17,1-Mar-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003715,N,20,,,,8-Feb-17,8-Feb-17,20-Mar-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003735,N,20,,,,8-Feb-17,9-Feb-17,11-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003747,N,20,,,,8-Feb-17,,9-Feb-17,,Simple,Duplicate request, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003756,N,20,,,,9-Feb-17,9-Feb-17,23-Feb-17,3,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003759,N,20,,,,9-Feb-17,9-Feb-17,27-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003764,N,20,,,,9-Feb-17,9-Feb-17,29-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,9-Feb-17,14-Feb-17,4,Full Grant,
Region 5,EPA-R5-2017-003770,N,30,,,,9-Feb-17,9-Feb-17,,33,Complex,,,,,,,,,,,,, ,9-Feb-17,14-Feb-17,5,Deny,
Region 5,EPA-R5-2017-003772,N,20,,,,9-Feb-17,10-Feb-17,15-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003773,N,20,,,,9-Feb-17,10-Feb-17,1-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003785,N,20,,,,9-Feb-17,10-Feb-17,6-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003792,N,20,,,,9-Feb-17,10-Feb-17,14-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003798,N,20,,,,10-Feb-17,10-Feb-17,15-Feb-17,1,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003800,N,20,,,,10-Feb-17,10-Feb-17,14-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003816,N,20,,,,10-Feb-17,,14-Feb-17,,Simple,Duplicate request, ,,,,,,,,,,, ,10-Feb-17,14-Feb-17,3,Deny,
Region 5,EPA-R5-2017-003821,N,20,,,,10-Feb-17,10-Feb-17,15-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003840,N,20,,,,12-Feb-17,14-Feb-17,13-Apr-17,,Complex,No records, ,,,,,,,,,,, ,12-Feb-17,15-Mar-17,30,Not Billable,
Region 5,EPA-R5-2017-003841,N,20,,,,12-Feb-17,14-Feb-17,5-Apr-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003844,N,20,,,,13-Feb-17,13-Feb-17,2-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003845,N,20,,,,13-Feb-17,13-Feb-17,20-Jun-17,,Complex,Partial grant/partial denial, ,"Ex. 5, Ex. 6",,,,,,,,,, ,13-Feb-17,14-Feb-17,0,Deny,
Region 5,EPA-R5-2017-003849,N,30,,,,13-Feb-17,14-Feb-17,10-Apr-17,0,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003856,N,20,,,,13-Feb-17,15-Feb-17,16-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003857,N,30,,,,13-Feb-17,14-Feb-17,10-Apr-17,10,Simple,Full grant, ,,,,,,,,,,, ,,,, ,70.75
Region 5,EPA-R5-2017-003873,N,30,,,,13-Feb-17,14-Feb-17,15-May-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003874,N,20,,,,13-Feb-17,14-Feb-17,15-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003890,N,20,,,,13-Feb-17,14-Feb-17,8-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003906,N,20,,,,14-Feb-17,14-Feb-17,14-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003922,N,20,,,,14-Feb-17,,23-Feb-17,,Simple,Request withdrawn, ,,,,,,,,14-Feb-17,23-Feb-17,8,Deny,14-Feb-17,23-Feb-17,8,Deny,
Region 5,EPA-R5-2017-003927,N,20,,,,14-Feb-17,14-Feb-17,7-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003934,N,20,,,,14-Feb-17,14-Feb-17,2-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003935,N,20,,,,14-Feb-17,14-Feb-17,1-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003937,N,20,,,,14-Feb-17,14-Feb-17,15-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003938,N,20,,,,14-Feb-17,15-Feb-17,16-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003940,N,20,,,,14-Feb-17,14-Feb-17,27-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003945,N,20,,,,14-Feb-17,15-Feb-17,11-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003946,N,20,,,,14-Feb-17,15-Feb-17,23-Feb-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003947,N,20,,,,15-Feb-17,15-Feb-17,23-Feb-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003948,N,20,,,,15-Feb-17,15-Feb-17,23-Feb-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003949,N,20,,,,15-Feb-17,15-Feb-17,23-Feb-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003952,N,30,,,,15-Feb-17,15-Feb-17,28-Mar-17,0,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003963,N,20,,,,15-Feb-17,15-Feb-17,20-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003973,N,20,,,,15-Feb-17,15-Feb-17,7-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003974,N,20,,,,15-Feb-17,15-Feb-17,10-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003977,N,20,,,,15-Feb-17,15-Feb-17,8-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003978,N,20,,,,15-Feb-17,15-Feb-17,15-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003993,N,30,,,,16-Feb-17,16-Feb-17,8-Jun-17,,Complex,Full grant, ,,,,,,,,,,, ,23-Feb-17,23-Feb-17,0,Full Grant,
Region 5,EPA-R5-2017-003994,N,30,,,,16-Feb-17,16-Feb-17,7-Jun-17,,Complex,Full grant, ,,,,,,,,,,, ,16-Feb-17,23-Feb-17,7,Full Grant,
Region 5,EPA-R5-2017-003995,N,20,,,,16-Feb-17,16-Feb-17,17-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-003996,N,20,,,,16-Feb-17,16-Feb-17,11-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004010,N,20,,,,16-Feb-17,16-Feb-17,21-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004013,N,30,,,,16-Feb-17,16-Feb-17,,,Complex,,,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004015,N,20,,,,16-Feb-17,16-Feb-17,11-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004022,N,20,,,,16-Feb-17,,17-Feb-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004035,N,20,,,,16-Feb-17,17-Feb-17,29-Mar-17,11,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004043,N,30,,,,16-Feb-17,17-Feb-17,31-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004046,N,20,,,,16-Feb-17,,27-Feb-17,,Simple,Records not reasonably described, ,,,,,,,,,,, ,16-Feb-17,27-Feb-17,10,Deny,
Region 5,EPA-R5-2017-004060,N,30,,,,17-Feb-17,17-Feb-17,29-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004072,N,20,,,,17-Feb-17,17-Feb-17,15-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004084,N,30,,,,17-Feb-17,21-Feb-17,5-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004095,N,20,,,,19-Feb-17,21-Feb-17,22-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004106,N,20,,,,20-Feb-17,21-Feb-17,11-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004111,N,30,,,,20-Feb-17,21-Feb-17,27-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004117,N,20,,,,20-Feb-17,21-Feb-17,11-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004124,N,20,,,,21-Feb-17,21-Feb-17,8-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004136,N,20,,,,21-Feb-17,21-Feb-17,2-Mar-17,,Simple,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004139,N,30,,,,21-Feb-17,22-Feb-17,29-Mar-17,6,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004147,N,20,,,,21-Feb-17,22-Feb-17,2-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004151,N,30,,,,21-Feb-17,22-Feb-17,27-Apr-17,,Complex,Full grant, ,,,,,,,,,,, ,21-Feb-17,2-Mar-17,8,Full Grant,
Region 5,EPA-R5-2017-004152,N,20,,,,21-Feb-17,22-Feb-17,10-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,21-Feb-17,2-Mar-17,8,Deny,
Region 5,EPA-R5-2017-004158,N,20,,,,22-Feb-17,22-Feb-17,15-Mar-17,,Expedited,Full denial based on exemptions, ,Ex. 5,,,,,,,22-Feb-17,2-Mar-17,8,Grant,22-Feb-17,2-Mar-17,8,Full Grant,
Region 5,EPA-R5-2017-004160,N,30,,,,22-Feb-17,1-Mar-17,23-Mar-17,11,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004164,N,20,,,,22-Feb-17,22-Feb-17,11-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004169,N,20,,,,22-Feb-17,22-Feb-17,22-Mar-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004174,Y,20,,,,22-Feb-17,,27-Feb-17,,Pending,, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004180,N,20,,,,22-Feb-17,22-Feb-17,16-Mar-17,,Simple,No records, ,,,,,,,,,,, ,,,, ,
Region 5,EPA-R5-2017-004212,N,30,,,,23-Feb-17,23-Feb-17,3-Apr-17,,Simple,Full grant, ,,,,,,,,,,, ,,,, ,
